---------------- ARBOLES DE BUSQUEDA -------------------------------------------------------------

N- PUZZLE ---------------------------------------------------------------------

n-puzzle4x4 - SearchTree - Con duplicados

depth 0: 1 2
depth 1: 2 3
depth 2: 6 3
depth 3: 18 3.22222
depth 4: 58 3.2069
depth 5: 186 3.23656
depth 6: 602 3.23256
depth 7: 1946 3.23638
depth 8: 6298 3.23563
depth 9: 20378 3.23614
depth 10: 65946 3.23601
depth 11: 213402 3.23608
depth 12: 690586 3.23606
depth 13: 2234778 3.23607
depth 14: 7231898 3.23607
depth 15: 23402906 3.23607
depth 16: 75733402 3.23607
depth 17: 245078426 3.23607
depth 18: 793090458 3.23607

-------------------------------------------------------------------------------------------

n-puzzle4x4 - SearchTree - Sin duplicados

depth 0: 1 2
depth 1: 2 2
depth 2: 4 2.5
depth 3: 10 2.4
depth 4: 24 2.25
depth 5: 54 2
depth 6: 108 2.01852
depth 7: 218 2.16514
depth 8: 472 2.1822
depth 9: 1030 2.13981
depth 10: 2204 2.11706
depth 11: 4666 2.11745
depth 12: 9880 2.13016
depth 13: 21046 2.13684
depth 14: 44972 2.13311
depth 15: 95930 2.1288
depth 16: 204216 2.1286
depth 17: 434694 2.13019
depth 18: 925980 2.13108
depth 19: 1973338 2.13083
depth 20: 4204856 2.13029
depth 21: 8957558 2.13015
depth 22: 19080940 2.13033
depth 23: 40648730 2.13047
depth 24: 86600984 2.13046
depth 25: 184499846 2.13039
depth 26: 393057052 2.13037
depth 27: 837355258 2.13038

n-puzzle5x5 - SearchTree - Con duplicados

depth 0: 1 2
depth 1: 2 3
depth 2: 6 3
depth 3: 18 3.33333
depth 4: 60 3.3
depth 5: 198 3.45455
depth 6: 684 3.39474
depth 7: 2322 3.48837
depth 8: 8100 3.42
depth 9: 27702 3.49708
depth 10: 96876 3.42642
depth 11: 331938 3.49927
depth 12: 1161540 3.42803
depth 13: 3981798 3.49982
depth 14: 13935564 3.42844
depth 15: 47777202 3.49995
depth 16: 167218020 3.42854
depth 17: 573313302 3.49999

n-puzzle5x5 - SearchTree - Sin duplicados

depth 0: 1 2
depth 1: 2 2
depth 2: 4 2.5
depth 3: 10 2.6
depth 4: 26 2.46154
depth 5: 64 2.5
depth 6: 160 2.325
depth 7: 372 2.3871
depth 8: 888 2.24775
depth 9: 1996 2.44088
depth 10: 4872 2.3243
depth 11: 11324 2.43801
depth 12: 27608 2.30093
depth 13: 63524 2.4331
depth 14: 154560 2.30225
depth 15: 355836 2.43373
depth 16: 866008 2.30223
depth 17: 1993748 2.43467
depth 18: 4854112 2.30341
depth 19: 11181004 2.43418
depth 20: 27216632 2.3025
depth 21: 62666404 2.43424
depth 22: 152545216 2.30284
depth 23: 351287868 2.43426
depth 24: 855126456 2.30275

RUBIKS CUBE ---------------------------------------------------------------------


rubikscube2x2 - SearchTree - Con duplicados

depth 0: 1 18
depth 1: 18 18
depth 2: 324 18
depth 3: 5832 18
depth 4: 104976 18
depth 5: 1889568 18
depth 6: 34012224 18
depth 7: 612220032 3.9692

rubikscube2x2 - SearchTree - Sin duplicados

depth 0: 1 18
depth 1: 18 13.5
depth 2: 243 13.3333
depth 3: 3240 13.35
depth 4: 43254 13.3483
depth 5: 577368 13.3485
depth 6: 7706988 13.3485
